_time,Pressure,Temperature
2020-01-01T14:40:06.634Z,9,129
2020-01-01T14:40:06.636Z,14,34
2020-01-01T14:40:06.638Z,156,13
2020-01-01T14:40:06.640Z,104,137
2020-01-01T14:40:06.642Z,143,137
2020-01-01T14:40:06.644Z,64,166
2020-01-01T14:40:06.646Z,36,57
2020-01-01T14:40:06.648Z,7,3
2020-01-01T14:40:06.650Z,36,14
2020-01-01T14:40:06.652Z,37,184
2020-01-01T14:40:06.654Z,180,71
2020-01-01T14:40:06.656Z,185,12
2020-01-01T14:40:06.658Z,77,109
2020-01-01T14:40:06.660Z,97,164
2020-01-01T14:40:06.662Z,20,81
2020-01-01T14:40:06.664Z,194,149
2020-01-01T14:40:06.666Z,186,131
2020-01-01T14:40:06.668Z,190,83
2020-01-01T14:40:06.670Z,57,140
2020-01-01T14:40:06.672Z,34,10
2020-01-01T14:40:06.674Z,76,190
2020-01-01T14:40:06.676Z,191,5
2020-01-01T14:40:06.678Z,42,64
2020-01-01T14:40:06.680Z,190,3
2020-01-01T14:40:06.682Z,31,40
2020-01-01T14:40:06.684Z,110,112
2020-01-01T14:40:06.686Z,134,178
2020-01-01T14:40:06.688Z,63,44
2020-01-01T14:40:06.690Z,23,137
2020-01-01T14:40:06.692Z,57,114
2020-01-01T14:40:06.694Z,141,97
2020-01-01T14:40:06.696Z,7,144
2020-01-01T14:40:06.698Z,137,15
2020-01-01T14:40:06.700Z,84,131
2020-01-01T14:40:06.702Z,143,59
2020-01-01T14:40:06.704Z,58,126
2020-01-01T14:40:06.706Z,96,97
2020-01-01T14:40:06.708Z,198,59
2020-01-01T14:40:06.710Z,79,178
2020-01-01T14:40:06.712Z,168,156
2020-01-01T14:40:06.714Z,192,108
2020-01-01T14:40:06.716Z,125,75
2020-01-01T14:40:06.718Z,68,94
2020-01-01T14:40:06.720Z,3,5
2020-01-01T14:40:06.722Z,48,2
2020-01-01T14:40:06.724Z,146,36
2020-01-01T14:40:06.726Z,54,53
2020-01-01T14:40:06.728Z,36,171
2020-01-01T14:40:06.730Z,157,153
2020-01-01T14:40:06.732Z,138,49
2020-01-01T14:40:06.734Z,55,4
2020-01-01T14:40:06.736Z,102,96
2020-01-01T14:40:06.738Z,87,199
2020-01-01T14:40:06.740Z,195,118
2020-01-01T14:40:06.742Z,59,89
2020-01-01T14:40:06.744Z,50,77
2020-01-01T14:40:06.746Z,134,145
2020-01-01T14:40:06.748Z,70,57
2020-01-01T14:40:06.750Z,68,22
2020-01-01T14:40:06.752Z,97,55
2020-01-01T14:40:06.754Z,32,20
2020-01-01T14:40:06.756Z,157,171
2020-01-01T14:40:06.758Z,117,115
2020-01-01T14:40:06.760Z,60,26
2020-01-01T14:40:06.762Z,165,17
2020-01-01T14:40:06.764Z,85,170
2020-01-01T14:40:06.766Z,164,57
2020-01-01T14:40:06.768Z,168,145
2020-01-01T14:40:06.770Z,110,15
2020-01-01T14:40:06.772Z,197,137
2020-01-01T14:40:06.774Z,45,5
2020-01-01T14:40:06.776Z,122,77
2020-01-01T14:40:06.778Z,61,84
2020-01-01T14:40:06.780Z,157,150
2020-01-01T14:40:06.782Z,93,57
2020-01-01T14:40:06.784Z,52,98
2020-01-01T14:40:06.786Z,12,45
2020-01-01T14:40:06.788Z,101,25
2020-01-01T14:40:06.790Z,133,54
2020-01-01T14:40:06.792Z,174,113
2020-01-01T14:40:06.794Z,133,11
2020-01-01T14:40:06.796Z,191,198
2020-01-01T14:40:06.798Z,27,3
2020-01-01T14:40:06.800Z,67,130
2020-01-01T14:40:06.802Z,12,140
2020-01-01T14:40:06.804Z,162,120
2020-01-01T14:40:06.806Z,193,30
2020-01-01T14:40:06.808Z,106,174
2020-01-01T14:40:06.810Z,63,148
2020-01-01T14:40:06.812Z,111,134
2020-01-01T14:40:06.814Z,126,143
2020-01-01T14:40:06.816Z,14,79
2020-01-01T14:40:06.818Z,191,76
2020-01-01T14:40:06.820Z,110,93
2020-01-01T14:40:06.822Z,56,161
2020-01-01T14:40:06.824Z,69,129
2020-01-01T14:40:06.826Z,116,196
2020-01-01T14:40:06.828Z,172,200
2020-01-01T14:40:06.830Z,130,68
2020-01-01T14:40:06.832Z,17,17
2020-01-01T14:40:06.834Z,138,170
2020-01-01T14:40:06.836Z,13,16
2020-01-01T14:40:06.838Z,63,183
2020-01-01T14:40:06.840Z,150,20
2020-01-01T14:40:06.842Z,138,106
2020-01-01T14:40:06.844Z,51,61
2020-01-01T14:40:06.846Z,150,88
2020-01-01T14:40:06.848Z,121,81
2020-01-01T14:40:06.850Z,97,136
2020-01-01T14:40:06.852Z,121,177
2020-01-01T14:40:06.854Z,178,180
2020-01-01T14:40:06.856Z,77,70
2020-01-01T14:40:06.858Z,189,177
2020-01-01T14:40:06.860Z,150,32
2020-01-01T14:40:06.862Z,0,174
2020-01-01T14:40:06.864Z,97,27
2020-01-01T14:40:06.866Z,83,188
2020-01-01T14:40:06.868Z,58,185
2020-01-01T14:40:06.870Z,152,91
2020-01-01T14:40:06.872Z,47,58
2020-01-01T14:40:06.874Z,129,60
2020-01-01T14:40:06.876Z,156,181
2020-01-01T14:40:06.878Z,94,115
2020-01-01T14:40:06.880Z,31,113
2020-01-01T14:40:06.882Z,132,78
2020-01-01T14:40:06.884Z,163,68
2020-01-01T14:40:06.886Z,17,172
2020-01-01T14:40:06.888Z,179,8
2020-01-01T14:40:06.890Z,150,135
2020-01-01T14:40:06.892Z,21,17
2020-01-01T14:40:06.894Z,148,121
2020-01-01T14:40:06.896Z,33,160
2020-01-01T14:40:06.898Z,81,123
2020-01-01T14:40:06.900Z,31,34
2020-01-01T14:40:06.902Z,136,103
2020-01-01T14:40:06.904Z,64,38
2020-01-01T14:40:06.906Z,27,149
2020-01-01T14:40:06.908Z,42,136
2020-01-01T14:40:06.910Z,72,160
2020-01-01T14:40:06.912Z,173,3
2020-01-01T14:40:06.914Z,16,37
2020-01-01T14:40:06.916Z,134,195
2020-01-01T14:40:06.918Z,171,137
2020-01-01T14:40:06.920Z,154,14
2020-01-01T14:40:06.922Z,100,11
2020-01-01T14:40:06.924Z,33,25
2020-01-01T14:40:06.926Z,152,57
2020-01-01T14:40:06.928Z,46,133
2020-01-01T14:40:06.930Z,141,10
2020-01-01T14:40:06.932Z,3,107
2020-01-01T14:40:06.934Z,73,61
2020-01-01T14:40:06.936Z,163,199
2020-01-01T14:40:06.938Z,136,45
2020-01-01T14:40:06.940Z,121,60
2020-01-01T14:40:06.942Z,37,146
2020-01-01T14:40:06.944Z,191,150
2020-01-01T14:40:06.946Z,11,36
2020-01-01T14:40:06.948Z,93,110
2020-01-01T14:40:06.950Z,200,197
2020-01-01T14:40:06.952Z,153,17
2020-01-01T14:40:06.954Z,146,57
2020-01-01T14:40:06.956Z,123,95
2020-01-01T14:40:06.958Z,34,87
2020-01-01T14:40:06.960Z,127,133
2020-01-01T14:40:06.962Z,13,193
2020-01-01T14:40:06.964Z,120,59
2020-01-01T14:40:06.966Z,30,141
2020-01-01T14:40:06.968Z,16,94
2020-01-01T14:40:06.970Z,83,89
2020-01-01T14:40:06.972Z,109,41
2020-01-01T14:40:06.974Z,169,80
2020-01-01T14:40:06.976Z,12,198
2020-01-01T14:40:06.978Z,139,68
2020-01-01T14:40:06.980Z,162,171
2020-01-01T14:40:06.982Z,92,103
2020-01-01T14:40:06.984Z,71,98
2020-01-01T14:40:06.986Z,186,89
2020-01-01T14:40:06.988Z,155,28
2020-01-01T14:40:06.990Z,166,149
2020-01-01T14:40:06.992Z,32,58
2020-01-01T14:40:06.994Z,149,143
2020-01-01T14:40:06.996Z,147,81
2020-01-01T14:40:06.998Z,199,112
2020-01-01T14:40:07Z,32,54
2020-01-01T14:40:07.002Z,69,36
2020-01-01T14:40:07.004Z,28,176
2020-01-01T14:40:07.006Z,156,146
2020-01-01T14:40:07.008Z,142,81
2020-01-01T14:40:07.010Z,23,105
2020-01-01T14:40:07.012Z,165,49
2020-01-01T14:40:07.014Z,188,97
2020-01-01T14:40:07.016Z,48,79
2020-01-01T14:40:07.018Z,90,17
2020-01-01T14:40:07.020Z,89,65
2020-01-01T14:40:07.022Z,110,143
2020-01-01T14:40:07.024Z,8,165
2020-01-01T14:40:07.026Z,174,9
2020-01-01T14:40:07.028Z,65,1
2020-01-01T14:40:07.030Z,133,80
2020-01-01T14:40:07.032Z,104,41
2020-01-01T14:40:07.034Z,138,192
2020-01-01T14:40:07.036Z,188,75
2020-01-01T14:40:07.038Z,47,110
2020-01-01T14:40:07.040Z,16,188
2020-01-01T14:40:07.042Z,20,161
2020-01-01T14:40:07.044Z,67,3
2020-01-01T14:40:07.046Z,172,185
2020-01-01T14:40:07.048Z,53,108
2020-01-01T14:40:07.050Z,105,114
2020-01-01T14:40:07.052Z,147,161
2020-01-01T14:40:07.054Z,55,27
2020-01-01T14:40:07.056Z,130,115
2020-01-01T14:40:07.058Z,175,166
2020-01-01T14:40:07.060Z,136,67
2020-01-01T14:40:07.062Z,117,189
2020-01-01T14:40:07.064Z,56,30
2020-01-01T14:40:07.066Z,84,23
2020-01-01T14:40:07.068Z,58,110
2020-01-01T14:40:07.070Z,70,77
2020-01-01T14:40:07.072Z,58,113
2020-01-01T14:40:07.074Z,168,35
2020-01-01T14:40:07.076Z,137,87
2020-01-01T14:40:07.078Z,121,37
2020-01-01T14:40:07.080Z,112,181
2020-01-01T14:40:07.082Z,101,76
2020-01-01T14:40:07.084Z,135,105
2020-01-01T14:40:07.086Z,20,177
2020-01-01T14:40:07.088Z,195,49
2020-01-01T14:40:07.090Z,180,143
2020-01-01T14:40:07.092Z,147,192
2020-01-01T14:40:07.094Z,147,165
2020-01-01T14:40:07.096Z,95,166
2020-01-01T14:40:07.098Z,154,153
2020-01-01T14:40:07.100Z,7,53
2020-01-01T14:40:07.102Z,95,39
2020-01-01T14:40:07.104Z,162,179
2020-01-01T14:40:07.106Z,145,8
2020-01-01T14:40:07.108Z,183,6
2020-01-01T14:40:07.110Z,2,127
2020-01-01T14:40:07.112Z,122,125
2020-01-01T14:40:07.114Z,2,132
2020-01-01T14:40:07.116Z,128,112
2020-01-01T14:40:07.118Z,62,30
2020-01-01T14:40:07.120Z,31,157
2020-01-01T14:40:07.122Z,99,177
2020-01-01T14:40:07.124Z,177,125
2020-01-01T14:40:07.126Z,109,6
2020-01-01T14:40:07.128Z,175,198
2020-01-01T14:40:07.130Z,47,155
2020-01-01T14:40:07.132Z,48,122
2020-01-01T14:40:07.134Z,44,160
2020-01-01T14:40:07.136Z,45,100
2020-01-01T14:40:07.138Z,101,23
2020-01-01T14:40:07.140Z,200,78
2020-01-01T14:40:07.142Z,32,170
2020-01-01T14:40:07.144Z,66,21
2020-01-01T14:40:07.146Z,92,27
2020-01-01T14:40:07.148Z,10,195
2020-01-01T14:40:07.150Z,31,141
2020-01-01T14:40:07.152Z,69,66
2020-01-01T14:40:07.154Z,140,133
2020-01-01T14:40:07.156Z,157,22
2020-01-01T14:40:07.158Z,160,129
2020-01-01T14:40:07.160Z,157,34
2020-01-01T14:40:07.162Z,149,7
2020-01-01T14:40:07.164Z,57,6
2020-01-01T14:40:07.166Z,115,142
2020-01-01T14:40:07.168Z,55,188
2020-01-01T14:40:07.170Z,48,144
2020-01-01T14:40:07.172Z,197,158
2020-01-01T14:40:07.174Z,141,17
2020-01-01T14:40:07.176Z,181,67
2020-01-01T14:40:07.178Z,189,143
2020-01-01T14:40:07.180Z,60,151
2020-01-01T14:40:07.182Z,166,185
2020-01-01T14:40:07.184Z,142,69
2020-01-01T14:40:07.186Z,129,162
2020-01-01T14:40:07.188Z,159,61
2020-01-01T14:40:07.190Z,18,149
2020-01-01T14:40:07.192Z,4,119
2020-01-01T14:40:07.194Z,126,185
2020-01-01T14:40:07.196Z,139,60
2020-01-01T14:40:07.198Z,120,172
2020-01-01T14:40:07.200Z,158,73
2020-01-01T14:40:07.202Z,52,157
2020-01-01T14:40:07.204Z,188,95
2020-01-01T14:40:07.206Z,45,100
2020-01-01T14:40:07.208Z,100,106
2020-01-01T14:40:07.210Z,58,197
2020-01-01T14:40:07.212Z,130,119
2020-01-01T14:40:07.214Z,71,156
2020-01-01T14:40:07.216Z,178,189
2020-01-01T14:40:07.218Z,91,181
2020-01-01T14:40:07.220Z,135,73
2020-01-01T14:40:07.222Z,94,82
2020-01-01T14:40:07.224Z,67,75
2020-01-01T14:40:07.226Z,190,184
2020-01-01T14:40:07.228Z,48,103
2020-01-01T14:40:07.230Z,75,78
2020-01-01T14:40:07.232Z,68,94
2020-01-01T14:40:07.234Z,170,165
2020-01-01T14:40:07.236Z,71,85
2020-01-01T14:40:07.238Z,79,178
2020-01-01T14:40:07.240Z,174,195
2020-01-01T14:40:07.242Z,92,20
2020-01-01T14:40:07.244Z,46,123
2020-01-01T14:40:07.246Z,180,103
2020-01-01T14:40:07.248Z,149,120
2020-01-01T14:40:07.250Z,8,42
2020-01-01T14:40:07.252Z,38,53
2020-01-01T14:40:07.254Z,156,162
2020-01-01T14:40:07.256Z,148,144
2020-01-01T14:40:07.258Z,75,176
2020-01-01T14:40:07.260Z,11,114
2020-01-01T14:40:07.262Z,124,193
2020-01-01T14:40:07.264Z,12,153
2020-01-01T14:40:07.266Z,87,28
2020-01-01T14:40:07.268Z,158,112
2020-01-01T14:40:07.270Z,154,49
2020-01-01T14:40:07.272Z,17,8
2020-01-01T14:40:07.274Z,116,66
2020-01-01T14:40:07.276Z,194,99
2020-01-01T14:40:07.278Z,64,86
2020-01-01T14:40:07.280Z,181,11
2020-01-01T14:40:07.282Z,46,48
2020-01-01T14:40:07.284Z,20,183
2020-01-01T14:40:07.286Z,138,109
2020-01-01T14:40:07.288Z,76,23
2020-01-01T14:40:07.290Z,178,26
2020-01-01T14:40:07.292Z,188,137
2020-01-01T14:40:07.294Z,95,147
2020-01-01T14:40:07.296Z,0,98
2020-01-01T14:40:07.298Z,150,87
2020-01-01T14:40:07.300Z,84,174
2020-01-01T14:40:07.302Z,28,184
2020-01-01T14:40:07.304Z,165,25
2020-01-01T14:40:07.306Z,146,63
2020-01-01T14:40:07.308Z,129,199
2020-01-01T14:40:07.310Z,180,63
2020-01-01T14:40:07.312Z,32,55
2020-01-01T14:40:07.314Z,111,34
2020-01-01T14:40:07.316Z,128,166
2020-01-01T14:40:07.318Z,132,110
2020-01-01T14:40:07.320Z,54,118
2020-01-01T14:40:07.322Z,120,190
2020-01-01T14:40:07.324Z,5,33
2020-01-01T14:40:07.326Z,157,79
2020-01-01T14:40:07.328Z,38,200
2020-01-01T14:40:07.330Z,193,49
2020-01-01T14:40:07.332Z,121,174
2020-01-01T14:40:07.334Z,22,91
2020-01-01T14:40:07.336Z,88,182
2020-01-01T14:40:07.338Z,116,26
2020-01-01T14:40:07.340Z,0,124
2020-01-01T14:40:07.342Z,115,150
2020-01-01T14:40:07.344Z,27,32
2020-01-01T14:40:07.346Z,85,167
2020-01-01T14:40:07.348Z,160,199
2020-01-01T14:40:07.350Z,119,47
2020-01-01T14:40:07.352Z,136,66
2020-01-01T14:40:07.354Z,12,39
2020-01-01T14:40:07.356Z,63,188
2020-01-01T14:40:07.358Z,12,135
2020-01-01T14:40:07.360Z,121,129
2020-01-01T14:40:07.362Z,149,73
2020-01-01T14:40:07.364Z,24,76
2020-01-01T14:40:07.366Z,28,26
2020-01-01T14:40:07.368Z,91,109
2020-01-01T14:40:07.370Z,125,75
2020-01-01T14:40:07.372Z,117,128
2020-01-01T14:40:07.374Z,167,136
2020-01-01T14:40:07.376Z,153,161
2020-01-01T14:40:07.378Z,183,90
2020-01-01T14:40:07.380Z,127,200
2020-01-01T14:40:07.382Z,150,50
2020-01-01T14:40:07.384Z,47,53
2020-01-01T14:40:07.386Z,165,46
2020-01-01T14:40:07.388Z,162,18
2020-01-01T14:40:07.390Z,3,114
2020-01-01T14:40:07.392Z,31,34
2020-01-01T14:40:07.394Z,0,44
2020-01-01T14:40:07.396Z,156,39
2020-01-01T14:40:07.398Z,172,83
2020-01-01T14:40:07.400Z,167,25
2020-01-01T14:40:07.402Z,157,128
2020-01-01T14:40:07.404Z,58,133
2020-01-01T14:40:07.406Z,80,133
2020-01-01T14:40:07.408Z,186,185
2020-01-01T14:40:07.410Z,181,18
2020-01-01T14:40:07.412Z,122,186
2020-01-01T14:40:07.414Z,118,44
2020-01-01T14:40:07.416Z,165,32
2020-01-01T14:40:07.418Z,28,164
2020-01-01T14:40:07.420Z,65,161
2020-01-01T14:40:07.422Z,161,152
2020-01-01T14:40:07.424Z,16,4
2020-01-01T14:40:07.426Z,65,172
2020-01-01T14:40:07.428Z,163,31
2020-01-01T14:40:07.430Z,2,11
2020-01-01T14:40:07.432Z,169,5
2020-01-01T14:40:07.434Z,17,93
2020-01-01T14:40:07.436Z,35,91
2020-01-01T14:40:07.438Z,193,6
2020-01-01T14:40:07.440Z,79,83
2020-01-01T14:40:07.442Z,162,137
2020-01-01T14:40:07.444Z,96,113
2020-01-01T14:40:07.446Z,32,26
2020-01-01T14:40:07.448Z,136,84
2020-01-01T14:40:07.450Z,44,161
2020-01-01T14:40:07.452Z,113,7
2020-01-01T14:40:07.454Z,178,108
2020-01-01T14:40:07.456Z,29,151
2020-01-01T14:40:07.458Z,192,188
2020-01-01T14:40:07.460Z,67,197
2020-01-01T14:40:07.462Z,190,30
2020-01-01T14:40:07.464Z,112,109
2020-01-01T14:40:07.466Z,175,141
2020-01-01T14:40:07.468Z,22,161
2020-01-01T14:40:07.470Z,134,165
